,Occupation,Critical Problem Solving and Repetitive Work,Negotition and Leadership Capacity,Hazardous Environment,Empathy and Social Percetiveness,Artistic Ability,Coordination Capacity,Finger Dexterity
1016,Semiconductor Processors,-0.209788377,-1.146141208,-0.422097847,-0.052802842,-0.138148266,0.317368917,0.337856527
1017,Photographic Process Workers and Processing Machine Operators,-0.399738396,0.008400938,-0.204053922,-0.273796038,0.410939117,-0.871503961,0.818832348
1018,Adhesive Bonding Machine Operators and Tenders,-0.735681953,-0.878308589,-1.153936512,-0.135951431,-0.63001448,0.00782037,0.008404742
1019,"Cleaning, Washing, and Metal Pickling Equipment Operators and Tenders",-1.205658799,-0.056047144,-0.389192367,-0.756003745,-0.699099666,-0.849428175,-0.293681528
1020,Cooling and Freezing Equipment Operators and Tenders,0.146836362,-0.067996916,-1.316518239,-0.348273941,-0.68833741,-0.166566994,-0.699611896
1021,Etchers and Engravers,-0.786997428,-0.484557534,-0.59389043,-0.731910324,1.144412366,-0.870929353,0.35734397
1023,"Stone Cutters and Carvers, Manufacturing",-1.060024889,0.655732582,-1.180297342,-0.905127797,2.073871596,-0.599667792,1.303224721
1024,"Glass Blowers, Molders, Benders, and Finishers",-0.408849979,-1.880745419,-1.173368783,-0.613571834,0.997953617,-0.628037242,-0.442456492
1025,"Potters, Manufacturing",-1.125963504,-0.012944758,-0.635961833,-0.785968747,3.129400149,-2.505935842,1.418239312
1026,Molding and Casting Workers,-0.774367563,-0.62260991,-0.556182094,-0.646014767,-0.598900577,-0.044765864,-0.035768067
1027,"Paper Goods Machine Setters, Operators, and Tenders",-0.879642442,0.1522065,-0.948572865,-1.079532297,-0.068639901,0.324062648,-0.265766484
1028,Tire Builders,-1.002393162,-0.758401048,-1.179559861,-0.031107846,-0.39859458,-1.595298149,0.654718292
1029,Helpers--Production Workers,-1.378127558,-1.038808789,-0.455682631,-0.429679143,-0.489839839,-0.358960484,-0.331314434
1031,Recycling and Reclamation Workers,-1.382892781,-0.412022218,-1.185814305,-0.394568246,-0.017072886,-0.103201965,-0.336473698
1032,Aircraft Cargo Handling Supervisors,-0.261322122,0.904726487,-1.071212491,0.1456568,-0.316360088,1.542119404,-0.035267619
1033,"First-Line Supervisors of Helpers, Laborers, and Material Movers, Hand",-0.316885615,1.419672808,-1.02210925,0.25536571,-0.589203476,1.579533089,-0.091660214
1034,Recycling Coordinators,-0.489672002,2.095074119,-0.940522045,-0.211258234,-0.28110235,1.022362004,-0.285962562
1035,First-Line Supervisors of Transportation and Material-Moving Machine and Vehicle Operators,-0.172410028,1.828517476,-0.342864216,0.366213726,-0.538517889,1.216983982,0.23322555
1036,"Airline Pilots, Copilots, and Flight Engineers",1.214925147,0.106734709,-1.954077099,0.808254804,-0.766098004,1.308006617,0.070793048
1037,Commercial Pilots,0.961899466,0.054296535,-1.314263423,0.259810426,-0.918758576,0.438014743,0.518425458
1038,Air Traffic Controllers,1.422783366,-0.513059375,0.327974412,-0.121080589,-0.434012299,1.022303824,0.731316985
1039,Airfield Operations Specialists,0.239049483,0.786517454,-1.043658399,-0.097450172,-0.699584773,0.456439719,-0.792984281
1040,Flight Attendants,-0.934735813,-0.206263467,-0.525115836,2.585092582,-0.569335453,0.565401705,0.39488628
1041,"Ambulance Drivers and Attendants, Except Emergency Medical Technicians",-0.575603108,-0.216447624,-0.772701986,1.078578735,-0.304883882,-0.239873551,-0.489115003
1042,"Bus Drivers, Transit and Intercity",-1.093399308,-0.439474839,-0.217002844,0.926197531,-0.845318125,-1.104933159,-0.054803263
1043,"Bus Drivers, School or Special Client",-0.408735979,-1.146371673,-0.439286227,1.319852665,-1.00105271,-1.613951974,-0.843328437
1044,Driver/Sales Workers,-1.375758196,0.738259294,0.735985673,-1.050932637,-1.423278922,-1.824082843,-0.087710724
1045,Heavy and Tractor-Trailer Truck Drivers,-0.6456436,-0.027222674,-0.945077152,-0.416953443,-0.592122332,-1.808749924,-0.547458174
1046,Light Truck or Delivery Services Drivers,-0.991248497,-1.066269492,0.066158591,0.021614758,-0.8481705,-0.92882757,-0.041953947
1047,Taxi Drivers and Chauffeurs,-1.071593842,-0.147191322,0.031555628,0.372494882,-0.524456117,-0.78007125,0.095242077
1049,Locomotive Engineers,0.241802395,-0.947355665,-1.709771277,0.058920528,-0.816819016,1.349055743,-0.755609706
1050,Locomotive Firers,0.094952,-1.250170107,-1.365304656,-0.279058053,-1.083084445,-0.033491691,-0.860081383
1051,"Rail Yard Engineers, Dinkey Operators, and Hostlers",0.17693019,-0.745781832,-1.303639798,0.009466137,-0.440647136,1.403516266,-0.393308878
1052,"Railroad Brake, Signal, and Switch Operators",-0.427190828,-0.807342025,-1.818223949,0.035832695,-0.438874805,0.672038739,-1.292448333
1053,Railroad Conductors and Yardmasters,0.052847824,-0.692734617,-1.128553378,0.327504666,-1.146407399,0.466146948,-1.534944809
1054,Subway and Streetcar Operators,-0.276459674,-0.690151392,-0.813247869,0.903223311,-1.721918502,-0.891193035,0.414826825
1056,Sailors and Marine Oilers,-0.707617163,0.488607851,-1.70798576,0.042188743,-0.426624028,0.095403479,-0.309619464
1058,Ship and Boat Captains,0.635409742,1.304607498,-1.270917836,-0.073628247,-0.566357551,-0.273286069,-0.056706679
1059,"Mates- Ship, Boat, and Barge",-0.077427568,0.647651167,-1.664432138,0.094366777,0.074714502,0.501889858,-0.826134081
1060,"Pilots, Ship",0.885663948,-0.422756984,-1.770653222,-0.139478361,-0.669484166,1.436445378,-1.460087417
1061,Motorboat Operators,-0.250626031,-0.31061741,-1.019134433,0.549797653,-0.459983997,0.309996056,0.65000584
1062,Ship Engineers,1.183926515,-1.286302426,-1.964230485,-0.004432079,-0.168657889,-0.075393758,-0.68735575
1063,Bridge and Lock Tenders,-0.809739049,-0.203229157,-0.182163506,0.326432127,-1.183063421,-1.775998151,-0.546062573
1064,Parking Lot Attendants,-1.581006061,-0.606822549,0.178747923,-0.183596892,-1.254089894,-0.962532546,-0.880730368
1065,Automotive and Watercraft Service Attendants,-0.376499179,-0.230530694,-1.487824579,0.10890207,-0.304530094,-0.01857206,-0.37622378
1066,Traffic Technicians,0.292503373,-0.325641184,-0.090494745,-0.426310928,-0.545459816,0.255232801,-0.57926667
1068,Aviation Inspectors,0.836560605,0.409275873,-0.550888369,-0.079107656,-0.551966192,-0.364199269,0.505125111
1069,"Transportation Vehicle, Equipment and Systems Inspectors, Except Aviation",-0.490048106,-1.927247383,-0.59131571,0.243238632,-0.969425233,0.430982709,-0.940875804
1070,Freight and Cargo Inspectors,0.217180877,0.038163071,-0.447304695,-0.452360991,-1.039025977,-0.786176039,-0.644827533
1071,"Transportation Attendants, Except Flight Attendants",-1.444291324,0.091534768,0.308330449,1.502670364,-1.459557715,-1.53959872,-0.808799226
1073,Conveyor Operators and Tenders,-0.957170598,-0.238885484,-0.756098136,0.012820172,-0.707296599,-0.203675584,-0.124083138
1074,Crane and Tower Operators,-0.363169522,-0.471310092,-1.539213209,-0.472325003,-0.156348373,0.421505039,-0.323404218
1075,Dredge Operators,-1.145616594,-0.412911121,-1.118571499,-0.376812539,-0.096598429,0.077819435,-0.740794062
1076,Excavating and Loading Machine and Dragline Operators,-0.838144434,0.837234984,-1.59833431,-0.595782863,-0.240286113,-0.296454953,0.384594707
1077,"Loading Machine Operators, Underground Mining",-1.146429718,-1.427035742,-1.504043373,0.318425232,-0.802672682,0.339039159,-1.420760091
1078,Hoist and Winch Operators,-0.115829436,0.127225962,-1.681842014,-0.437643232,-1.087291768,0.123995625,-0.397220443
1079,Industrial Truck and Tractor Operators,-1.368555177,-0.025555485,-1.529948441,-0.357997696,-0.126913988,0.385687823,-0.445423537
1080,Cleaners of Vehicles and Equipment,-2.075650031,-1.708287206,-0.775143885,-0.121731926,-0.257210459,0.220789269,-1.846521822
1081,"Laborers and Freight, Stock, and Material Movers, Hand",-1.435140888,-0.932087082,-0.030137861,-0.885755758,-1.043499573,0.296079009,-0.560554395
1082,Machine Feeders and Offbearers,-1.750894797,-1.519514939,-0.075818483,-0.311246676,-0.482861387,0.257756956,-0.704536376
1083,"Packers and Packagers, Hand",-2.050062227,-0.515026949,-0.03004289,-0.217090908,0.126520134,0.883955953,0.290289588
1084,Gas Compressor and Gas Pumping Station Operators,0.156237692,-0.286858802,-2.136485251,0.133328078,-0.020992639,0.823875163,0.518907956
1085,"Pump Operators, Except Wellhead Pumpers",-0.131715047,-0.66150054,-0.838360381,-0.00524195,-0.891386778,0.236777109,-0.144208562
1086,Wellhead Pumpers,0.133866665,-1.544787586,-1.636874202,-0.12943206,-0.617343776,-0.913355299,-1.620399319
1087,Refuse and Recyclable Material Collectors,-1.071353956,-0.193718345,-1.355160724,0.113173952,-0.255529273,-1.025878408,-0.788708153
1088,Mine Shuttle Car Operators,-1.441782741,-1.344948699,-1.301502462,-0.527525896,-0.054438831,0.116558345,-0.950591409
1089,"Tank Car, Truck, and Ship Loaders",-0.546433566,0.136975023,-1.774360493,-0.369605599,-0.094499464,1.471099916,-0.520781082
